StartDate,RecordedDate,jspsych_id,Age,Gender,Year,Year_6_TEXT,Major,Major_3_TEXT,Inst,Start,Inst_now,Inst_list,Inst_yr,Inst_num,Inst_best,Ens,Course,Course_list,Read,Perf,Time_make,Time_listen,Concert,Genre_18,Genre_8,Genre_9,Genre_17,Genre_10,Genre_11,Genre_12,Genre_13,Genre_16,Genre_14,Genre_15,Genre_15_TEXT,participant,Pitch,Tempo,headphone,passed_practice,block_passed_practice,practice_score,accuracy
2022-03-11 21:15:17,2022-03-11 21:35:04,lws6fybx47tsfx,19,Male,Freshman,NA,Other,Economics/Statistics,1,10,0,i've played the piano for around 3 years when i was 9. i also started the violin around 9 years old and stopped at around 15 years old.,6,2,"c(""piano"", ""violin"")",1,1,1 (Orchestra during Freshman Year),1,-1,1,2,0,50,0,0,0,0,0,50,0,0,0,0,NA,4721459480,45,52,6,Yes,1,12,1
2022-03-12 08:53:01,2022-03-12 09:19:31,duvwtwatncc29f,21,Female,Junior,NA,Other,applied mathematics,1,13,0,"viola - 1 year
guitar - a little less than a year",1,2,character(0),1,1,I took two courses for guitar in high school,0,0,1,3,0,20,20,20,0,0,0,20,0,0,20,0,NA,8017703570,50,40,6,Yes,1,12,1
2022-03-12 17:30:43,2022-03-12 17:32:18,ghbk58xwj3w7v2,20,Male,Sophomore,NA,NA,Neuroscience,1,15,1,guitar - 5 years,5,1,character(0),1,1,1,1,0,1,4,3,30,0,0,0,0,10,60,0,0,0,0,NA,1475084897,35,32,6,Yes,1,8,0.6666666666666666
2022-03-12 21:08:36,2022-03-12 21:43:57,dw2g8xvmm29hzv,22,Female,Senior,NA,Other,Computer Science,1,4,0,"piano (9 years)
opera (2 years)",9,2,piano,0,0,NA,1,0,1,3,1,20,20,0,0,0,20,0,20,20,0,0,NA,1176432322,70,70,6,Yes,1,12,1
2022-03-13 11:27:00,2022-03-13 11:48:14,a48zc72k379mm5,19,Male,Freshman,NA,Other,Business Economics,1,12,0,tuba for 2 years,2,1,character(0),0,0,NA,0,0,1,2,3,0,0,25,0,0,0,25,0,0,0,50,Spanish,7592328979,18,19,6,Yes,1,9,0.75
2022-03-14 11:29:00,2022-03-14 11:34:20,hecbjunkhj9dj8,19,Female,Sophomore,NA,Other,Economics,1,7,1,"piano (12), violin (8), cello (1), ukulele (4), guitar (2), electric bass (1), vocals (19)",19,7,"c(""piano"", ""violin"")",1,1,8,1,0,2,5,3,10,0,0,0,0,30,0,60,0,0,0,NA,8008612604,95,87,5,Yes,1,10,0.8333333333333334
2022-03-15 06:37:02,2022-03-15 06:40:02,vak3dxc5advtbp,18,Female,Freshman,NA,Other,Economics,1,3,1,piano 15,15,1,piano,1,1,5,1,0,1,2,1,20,0,0,0,0,0,0,20,0,0,60,KPOP,1499053324,61,82,6,Yes,1,12,1
2022-03-15 17:01:48,2022-03-15 17:20:46,cny0e1gcjouwbl,20,Male,Sophomore,NA,Other,Economics,1,5,0,i played the guitar from 5-7. i never got very good. i also played the recorder in music class in middle school.,2,2,character(0),0,1,3,0,0,1,1,0,20,20,0,0,0,0,30,10,20,0,0,NA,4813440157,30,66,5,Yes,1,8,0.6666666666666666
2022-03-10 17:05:13,2022-03-15 22:19:19,a6ht9dc0qtad3q,NA,Male,Sophomore,NA,Psychology,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,1,2,1,10,0,0,0,0,20,70,0,0,0,0,NA,5345399037,67,88,4,Yes,1,8,0.6666666666666666
2022-03-16 17:56:54,2022-03-16 18:16:30,nblba5uf3agcee,19,Male,Sophomore,NA,Other,Economics,0,10,0,NA,0,0,NA,0,0,NA,0,0,1,3,4,30,0,0,0,0,0,70,0,0,0,0,NA,4351513553,30,14,6,Yes,2,11,0.9166666666666666
2022-03-18 11:37:46,2022-03-18 11:41:40,q7elxyj5557f33,20,Female,Sophomore,NA,NA,Math and Economics,1,9,1,"cello: 11 years
violin: 1 year",11,2,violin,1,1,1,1,0,2,3,3,30,40,0,0,0,0,0,30,0,0,0,NA,2714305726,65,70,5,Yes,1,12,1
2022-03-18 13:24:21,2022-03-18 13:27:59,sh7e5mf22heylw,22,Male,Junior,NA,Other,Economics,1,8,0,"piano, 2 years",2,1,piano,0,0,NA,0,0,1,2,0,0,0,0,0,0,0,0,5,5,0,90,Jewish,6469563586,65,55,5,Yes,1,12,1
2022-03-21 17:55:11,2022-03-21 17:58:03,68y16tu9q206kk,NA,Male,Sophomore,NA,Music,NA,1,11,1,"voice (9 years)
piano (7 years)
clarinet (6 years)",9,3,piano,1,1,6,1,0,5,3,0,0,0,0,0,0,30,20,0,0,0,50,Gospel,7682843385,70,90,0,Yes,1,12,1
2022-03-27 16:02:17,2022-03-27 16:24:41,1ud48q8gbhuohl,20,Male,Sophomore,NA,Other,Mathematics,1,17,0,"oboe, 1 year",1,1,oboe,0,1,1 music course in high school,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,100,hyperpop,8330397838,10,10,6,Yes,1,11,0.9166666666666666
2022-03-27 21:39:04,2022-03-27 22:07:51,4z28vs74263l11,19,Female,Sophomore,NA,Other,"political science, business economics",1,4,1,"piano (15 years)
choir (3 years)",15,2,piano,1,1,4,1,0,1,2,10,15,0,0,0,0,0,0,85,0,0,0,NA,3875503013,75,90,5,Yes,1,11,0.9166666666666666
2022-03-28 14:42:04,2022-03-28 15:09:24,r51mv84rhfl9sj,21,Male,Junior,NA,Other,Computer Science,1,12,0,"flute, 0.5 year
electric guitar, 0.5 year",0.5,2,character(0),0,0,NA,0,0,1,4,0,0,75,0,0,25,0,0,0,0,0,0,NA,4020586959,5,10,6,Yes,1,11,0.9166666666666666
2022-03-28 15:42:33,2022-03-28 16:01:21,kzv3jux3ejem13,20,Female,Sophomore,NA,Psychology,NA,1,4,0,"violin (16) , viola (6), piano (2), saxophone (0.5)",16,4,"c(""violin"", ""piano"")",1,1,2,1,0,1,5,3,40,30,10,0,5,10,0,0,0,0,5,Indie,6574248171,77,89,6,Yes,1,12,1
2022-03-28 15:52:45,2022-03-28 16:15:43,wt1s146c0vr3a1,NA,Male,Sophomore,NA,Other,Business Economics and Computer Science,0,NA,0,NA,0,0,NA,0,0,NA,0,0,1,3,1,25,5,20,10,5,5,25,5,0,0,0,NA,7561812961,10,30,6,Yes,1,11,0.9166666666666666
2022-03-28 16:12:10,2022-03-28 16:37:22,4srlrzfe7zrkce,18,Non-binary,Freshman,NA,Psychology,NA,1,5,1,"violin (8 years)
voice (13 years)
piano (2 years)",13,3,"c(""violin"", ""piano"")",1,0,NA,0,0,1,2,1,25,5,0,0,0,0,0,0,0,10,60,Musical Theater,3534700936,94,94,6,Yes,1,11,0.9166666666666666
2022-03-28 15:41:51,2022-03-28 16:41:25,7cpzxqj3q7e4kx,19,Male,Freshman,NA,Other,Computer Science,0,NA,0,NA,0,0,NA,1,0,NA,1,0,1,5,3,0,45,30,0,0,0,25,0,0,0,0,NA,2691455753,15,70,6,Yes,1,12,1
2022-03-28 17:06:35,2022-03-28 17:28:05,5qjd88k61078vu,18,Female,Freshman,NA,Other,LLSO and Public Policy,1,2,0,"violin - ages 2-10
flute - ages 10-18
voice - ages 8-17",9,3,violin,1,1,4,1,0,1,2,6,70,5,0,0,0,0,0,10,15,0,0,NA,9826140240,51,82,1,Yes,1,12,1
2022-03-28 16:31:54,2022-03-28 17:32:51,ynofrfor3jkeq6,19,Female,Sophomore,NA,Other,Computer Science,1,8,1,"violin: 6 years
piano: 5 years
voice: 11 years",11,3,"c(""violin"", ""piano"")",1,0,NA,1,0,4,4,1,90,10,0,0,0,0,0,0,0,0,0,NA,3527054000,70,40,6,Yes,1,12,1
2022-03-28 19:42:46,2022-03-28 20:08:38,kty5f6maptb0dd,19,Male,Sophomore,NA,Other,Biochemistry and MENG,1,5,0,"piano - 10 years
guitar - 2 years",10,2,piano,0,0,NA,1,0,1,3,0,50,0,10,0,0,20,10,10,0,0,0,NA,8038459790,60,60,6,Yes,1,12,1
2022-03-28 20:29:29,2022-03-28 20:31:24,tn79ehg5du7orv,19,Female,Sophomore,NA,Other,Biology,1,6,0,violin for 6 years and high school choir,6,2,violin,1,1,2 courses in high school,1,0,1,3,0,50,5,0,0,0,25,20,0,0,0,0,NA,4398419358,30,29,6,Yes,1,12,1
2022-03-28 20:57:19,2022-03-28 21:16:55,2ydzvypmquy3m6,21,Male,Junior,NA,Other,Economics,1,7,1,piano (14 years),14,1,piano,0,1,4,1,-1,1,2,10,10,0,0,0,0,10,30,50,0,0,0,NA,1191837194,80,61,6,Yes,1,12,1
2022-03-28 21:39:27,2022-03-28 22:56:47,f5cnmcxqh2k3nk,19,Female,Sophomore,NA,Other,Biology,0,NA,0,NA,0,0,NA,0,0,NA,0,-1,1,1,0,40,5,10,0,0,10,35,0,0,0,0,NA,9622225015,0,0,6,Yes,1,10,0.8333333333333334
2022-03-29 11:16:47,2022-03-29 11:38:06,3n34nqsw1a95al,20,Male,Sophomore,NA,Other,Biological Sciences,0,NA,0,NA,0,0,NA,0,0,NA,0,-1,1,3,0,20,0,0,0,0,20,0,0,0,60,0,NA,3917121574,9,10,6,Yes,1,11,0.9166666666666666
2022-03-29 14:10:26,2022-03-29 14:41:32,1k76xhtxu33fna,18,Female,Freshman,NA,Other,"Law, Letters and Society",1,7,0,"clarinet, 7 years",7,1,character(0),1,0,NA,1,0,1,1,1,20,0,0,0,0,0,0,30,0,50,0,NA,7565443735,65,71,6,Yes,1,11,0.9166666666666666
2022-03-29 15:44:46,2022-03-29 16:11:28,25s7fat9pbn07a,NA,Male,Freshman,NA,Other,Not declared,1,8,1,"guitar - 10 years
piano - 2 years
drums - 1 year",10,3,piano,1,1,"At least weekly lessons until high school, and then normal music class requirements during high school",1,0,1,2,2,0,30,0,0,15,0,40,0,15,0,0,NA,8256498212,30,30,4,Yes,1,12,1
2022-03-28 08:18:55,2022-03-29 16:13:46,dv8pnc8n8709ac,18,Female,Sophomore,NA,Other,Biology and Neuroscience,1,7,0,"violin (2 years)
piano (5 years)
recorder (1 year)
voice (4 years)",5,4,"c(""violin"", ""piano"")",1,1,Choir (4 years),0,0,1,3,2,73,0,5,5,2,10,5,0,0,0,0,NA,5743115892,53,44,1,Yes,1,12,1
2022-03-29 16:43:46,2022-03-29 16:46:45,h21fw4bmslr0vb,19,Male,Sophomore,NA,Other,Economics,1,16,1,"ukulele, guitar",3,2,character(0),0,0,NA,0,0,1,4,3,10,0,10,0,0,0,0,5,0,0,75,reggaeton,1244088576,60,70,6,Yes,1,12,1
2022-03-29 20:49:37,2022-03-29 20:52:20,d4qe5xyo1szx29,19,Female,Sophomore,NA,Other,Biology,1,13,0,"clarinet-4 years
choir-3 years",4,2,character(0),1,1,2,1,-1,1,1,2,20,0,0,0,0,20,0,20,0,0,40,spanish,7296446301,19,19,1,Yes,2,8,0.6666666666666666
2022-03-29 21:22:07,2022-03-29 21:41:40,xem2lsmz2rw58a,23,Male,Junior,NA,Other,Economics,0,NA,0,NA,0,0,NA,0,0,NA,0,0,1,1,0,100,0,0,0,0,0,0,0,0,0,0,NA,9946057928,NA,NA,6,Yes,1,10,0.8333333333333334
2022-03-30 13:36:07,2022-03-30 13:57:16,3ts9x7fclowjoe,18,Female,Sophomore,NA,NA,Biology,1,5,0,"piano (~14 years)
ukulele/guitar (2-3 years)",14,3,piano,0,0,NA,1,0,1,2,1,30,40,0,0,5,20,0,5,0,0,0,NA,6623958929,40,85,6,Yes,1,12,1
2022-03-30 14:43:41,2022-03-30 15:53:24,7txj1h7m1zulc0,19,Male,Sophomore,NA,Other,Economics,1,10,0,"piano, drum set",NA,2,piano,0,0,NA,0,0,2,2,0,70,0,0,10,0,0,20,0,0,0,0,NA,3353181194,30,40,5,Yes,1,9,0.75
2022-03-30 08:46:31,2022-03-30 20:36:37,caglmeprzlkyy2,19,Female,Sophomore,NA,NA,Computer Science,1,7,0,"piano (3 years)
flute (1 year)
ukulele (4 years)
voice (4 years)",4,4,piano,1,0,NA,1,0,1,2,1,95,2,0,0,0,2,1,0,0,0,0,NA,3425884653,70,25,6,Yes,1,12,1
2022-03-31 14:57:28,2022-03-31 15:20:32,gpg04v7qyrefwx,18,Female,Sophomore,NA,Other,Business Economics / Public Policy,1,7,0,"piano - 5 years
saxophone - 4 years",5,2,piano,0,0,NA,1,0,1,2,1,60,0,5,0,0,5,30,0,0,0,0,NA,5508193314,10,10,0,Yes,1,9,0.75
2022-03-31 17:13:37,2022-03-31 18:04:12,1zs6z0yx3n7f49,21,Male,Sophomore,NA,Other,NA,1,6,0,piano,NA,1,piano,0,0,NA,0,0,1,2,0,0,0,0,0,50,50,0,0,0,0,0,NA,3660856133,0,0,2,Yes,1,8,0.6666666666666666
2022-04-01 08:12:58,2022-04-01 08:39:22,lresmp7xwjprcu,18,Male,Sophomore,NA,Other,Mathematics with a Specialization in Economics,1,5,1,"voice (15 years), piano (8 years), cello (12 years)",15,3,piano,1,1,3,1,0,2,2,5,0,0,0,0,0,0,0,100,0,0,0,NA,7537436869,92,92,6,Yes,1,12,1
2022-04-01 15:04:16,2022-04-01 15:27:38,q4xckwadt0egfj,21,Male,Junior,NA,Other,Economics,1,5,0,"violin - 5yr
guitar - 2yr",5,2,violin,0,0,NA,0,0,1,3,5,10,0,0,30,20,5,30,5,0,0,0,NA,3379996212,63,68,6,Yes,1,12,1
2022-04-02 07:45:32,2022-04-02 08:31:11,l857wwdmpx8888,20,Male,Junior,NA,Other,Economics,1,6,1,violin 14 years,14,1,violin,1,1,2,1,0,3,2,3,40,0,20,0,0,0,20,20,0,0,0,NA,1794725346,92,90,0,Yes,1,12,1
